Id,Hazard
6,2.689849
7,3.719880
8,4.149553
9,2.922618
10,2.409846
11,2.982979
13,3.384567
14,2.368903
16,2.688144
17,2.606549
18,3.443773
20,2.766590
27,4.283448
28,3.328572
29,2.407980
30,2.688187
34,2.641647
35,3.048490
36,2.922814
37,2.820257
38,2.716404
40,2.732700
42,3.217820
46,2.864654
47,2.985650
48,3.307688
49,4.070709
51,3.473232
52,3.406466
53,1.913718
54,2.424181
55,2.282065
56,3.771004
57,2.632815
60,3.452038
61,2.075204
64,3.606700
65,3.108567
66,3.377223
68,3.780663
70,2.791425
71,2.360072
75,2.403565
76,2.879192
78,3.895532
80,2.645939
81,3.482327
82,3.275788
83,3.135992
85,2.440769
86,2.317863
87,2.833849
89,2.736556
90,3.010930
91,3.249620
92,3.169789
95,2.769470
97,3.276336
99,2.808139
101,2.981335
102,3.218237
103,2.709107
104,3.300125
107,3.221629
108,2.677500
111,2.412411
112,3.929606
115,3.580143
119,2.669617
121,3.095044
124,2.699899
128,3.634316
130,3.599183
131,3.699943
133,3.658375
134,3.206095
137,3.134595
138,3.131098
142,3.403884
143,3.395770
144,4.295673
145,3.487245
147,2.836109
148,3.325257
152,2.406262
154,5.775983
158,2.475472
159,2.889656
160,3.456893
161,3.392952
164,1.931880
165,2.682866
166,2.395003
167,2.674700
169,2.932199
170,3.566083
171,3.582487
175,2.544609
177,3.229773
178,3.421162
180,4.271596
182,2.986916
184,3.109887
185,3.692332
186,2.771997
190,3.134022
191,2.839655
192,2.374695
195,3.601642
196,3.640496
197,2.963557
198,3.148877
199,4.053056
200,2.872312
204,2.612858
205,3.194584
207,2.153244
208,2.670262
209,4.209759
211,3.918723
216,3.736924
217,2.065907
220,3.172665
223,3.681167
224,3.339312
230,2.711895
232,2.871232
235,2.928678
236,3.474208
238,2.839277
240,2.546008
242,3.073087
244,2.776617
245,2.868266
248,3.044704
251,3.068607
256,3.086322
258,3.687842
259,3.482352
261,3.377923
267,3.307612
268,2.735740
270,3.316200
272,3.978282
273,2.500437
275,1.893335
276,2.562768
277,3.578362
279,2.903988
283,3.091087
284,3.143531
286,2.649837
287,3.109015
288,2.317889
289,3.824116
292,2.955778
293,3.377922
295,3.094160
297,2.837947
301,3.286946
303,2.546330
304,2.818933
305,2.440461
308,2.977928
309,2.968466
313,2.935888
314,3.426580
315,2.991249
316,2.633011
318,3.358474
320,3.549147
324,3.140578
325,2.275436
326,2.363159
327,2.872201
328,3.842784
332,2.934942
333,3.986284
336,2.798806
339,3.060838
340,3.453520
342,3.046831
344,3.735624
345,2.924443
346,2.936942
349,3.258860
353,3.231733
355,3.030900
360,2.597364
363,2.898686
366,2.885674
367,2.757323
369,3.158285
371,3.725028
372,2.712732
374,2.450916
375,2.404826
378,2.813635
379,1.849279
381,3.269119
382,2.486026
384,2.695655
385,2.364418
387,3.066122
388,2.635789
389,3.346333
390,3.302263
393,3.178443
394,3.752151
395,2.990270
397,2.218038
398,3.274937
399,3.209686
403,2.887347
404,2.569091
406,2.501785
407,2.590090
410,1.996503
411,2.963065
412,1.998682
413,3.377678
417,3.182306
419,2.972797
422,3.327520
425,2.611661
426,3.185487
427,3.646217
432,2.789139
434,2.890101
437,2.736072
438,2.633978
440,3.402266
441,3.538883
443,2.174205
