Id,Hazard
6,2.516
7,6.366
8,7.25
9,3.572
10,2.802
11,3.836
13,4.94
14,4.67
16,3.37
17,2.85
18,6.956
20,3.048
27,7.244
28,4.702
29,3.054
30,3.22
34,3.546
35,3.974
36,4.97
37,4.416
38,3.228
40,4.634
42,4.2
46,3.872
47,3.884
48,5.622
49,7.404
51,3.912
52,6.73
53,1.924
54,2.848
55,2.942
56,5.766
57,2.684
60,6.902
61,3.238
64,5.216
65,4.97
66,5.092
68,5.87
70,3.326
71,2.584
75,2.938
76,4.932
78,6.166
80,3.662
81,6.648
82,5.114
83,4.236
85,3.296
86,2.166
87,3.968
89,3.952
90,4.294
91,4.0
92,5.478
95,3.226
97,6.742
99,4.152
101,4.354
102,4.596
103,2.514
104,4.8
107,4.89
108,4.286
111,3.06
112,5.856
115,3.846
119,3.006
121,3.852
124,3.2
128,8.184
130,5.882
131,4.718
133,6.414
134,5.452
137,3.436
138,3.828
142,6.146
143,4.308
144,7.644
145,5.702
147,2.89
148,6.646
152,3.04
154,14.314
158,2.732
159,4.096
160,4.218
161,4.53
164,2.114
165,2.93
166,2.766
167,3.316
169,3.724
170,5.062
171,5.89
175,4.056
177,4.854
178,4.82
180,6.882
182,3.664
184,9.364
185,7.768
186,4.5
190,3.56
191,3.718
192,2.182
195,5.376
196,5.822
197,4.5
198,2.504
199,7.978
200,3.964
204,2.91
205,4.444
207,2.51
208,4.582
209,10.966
211,5.62
216,11.626
217,1.708
220,4.376
223,5.524
224,4.514
230,4.1
232,3.096
235,4.79
236,5.782
238,3.962
240,2.834
242,4.258
244,4.2
245,3.328
248,3.7
251,4.334
256,4.02
258,5.848
259,4.132
261,4.606
267,4.938
268,4.186
270,5.412
272,10.186
273,3.644
275,2.03
276,2.746
277,5.542
279,3.314
283,5.218
284,3.968
286,2.48
287,3.604
288,2.924
289,6.09
292,4.872
293,4.926
295,4.63
297,3.724
301,4.234
303,2.992
304,3.616
305,2.378
308,3.32
309,4.21
313,4.376
314,4.364
315,4.398
316,3.282
318,5.91
320,5.996
324,4.598
325,4.818
326,2.906
327,4.2
328,7.104
332,4.016
333,7.446
336,3.032
339,3.92
340,5.686
342,6.402
344,10.474
345,3.056
346,3.634
349,4.974
353,3.958
355,3.28
360,2.544
363,5.252
366,3.688
367,2.71
369,4.188
371,5.836
372,3.402
374,2.496
375,3.194
378,3.654
379,2.08
381,4.376
382,2.624
384,2.812
385,2.266
387,3.818
388,2.364
389,4.438
390,4.15
393,4.054
394,5.37
395,3.696
397,2.104
398,4.144
399,3.898
403,3.426
404,2.858
406,2.29
407,3.22
410,2.9
411,2.756
412,1.504
413,5.782
417,3.944
419,3.506
422,5.688
425,3.706
426,3.462
427,6.02
432,3.44
434,3.546
437,2.984
438,3.718
440,5.776
441,5.1
443,2.226
445,4.816
447,2.402
449,3.254
450,3.368
451,3.406
453,5.148
455,2.57
456,5.138
459,4.498
461,2.65
463,3.228
466,3.544
467,3.54
469,2.946
470,5.288
472,4.552
477,4.176
481,3.272
485,5.51
492,3.478
494,4.976
497,3.958
503,2.938
504,4.87
507,4.772
509,3.12
511,6.036
512,3.45
513,3.178
516,7.05
517,2.22
518,3.478
522,3.664
525,2.412
526,3.076
527,6.484
529,3.418
534,5.97
538,2.45
540,6.81
541,1.652
542,4.534
543,10.686
544,5.356
546,2.602
547,3.134
550,4.162
554,4.206
556,2.384
558,4.756
559,3.238
560,6.3
564,5.266
565,1.906
566,4.12
567,6.002
568,3.668
570,2.786
571,3.764
575,4.19
576,7.904
585,2.662
586,3.734
589,2.798
590,4.112
591,4.916
593,2.642
594,2.654
595,2.768
596,3.928
597,3.444
598,4.088
599,3.368
600,4.558
601,4.04
609,2.694
613,4.596
619,5.836
620,4.4
621,6.28
622,4.296
623,2.71
625,5.412
626,2.682
628,2.268
629,4.302
633,4.328
634,4.61
635,9.49
636,3.236
637,4.368
638,3.312
639,3.71
640,4.942
643,4.844
645,3.988
646,5.3
647,2.644
649,3.58
650,4.91
654,4.184
656,2.408
657,4.084
661,6.836
662,3.216
663,4.584
664,2.86
667,3.73
668,5.036
672,2.756
673,3.564
675,4.012
676,2.158
677,3.196
678,6.46
679,6.136
682,2.82
684,4.75
686,3.668
687,9.172
688,3.354
689,3.366
690,3.954
691,5.72
693,4.628
694,3.784
695,2.9
696,3.446
699,4.214
702,7.074
703,2.602
704,2.442
705,2.48
708,5.554
709,4.5
710,4.464
711,4.71
712,3.71
713,5.582
714,2.816
724,3.978
725,3.8
727,2.47
729,2.746
731,4.774
732,3.514
735,4.138
736,3.506
738,3.156
739,3.32
741,4.962
744,3.672
745,6.156
749,3.178
750,3.946
753,3.37
754,4.936
756,4.012
759,4.978
763,3.936
764,3.338
765,5.598
770,4.07
773,3.426
774,4.336
778,3.386
780,4.15
781,4.416
783,17.784
784,3.592
790,3.256
791,4.524
792,3.092
793,2.34
794,4.798
795,3.77
796,2.728
801,6.162
802,4.292
805,4.218
808,3.416
809,4.582
813,3.538
814,9.658
815,1.398
816,5.836
817,2.282
821,4.394
822,3.768
823,3.124
825,4.056
826,3.176
830,2.918
832,4.208
833,4.726
835,2.362
837,3.194
838,3.828
839,2.262
841,4.718
842,3.602
844,4.988
853,2.988
855,4.55
858,4.068
859,2.696
860,2.406
861,2.99
862,2.424
868,2.606
869,6.996
874,6.134
875,3.612
877,5.32
879,3.6
885,4.556
886,3.692
887,4.508
892,4.696
894,3.0
896,4.878
898,3.026
899,4.254
900,4.154
901,2.742
903,5.02
904,6.886
906,3.086
907,5.28
908,3.712
909,2.958
915,3.372
916,5.752
917,3.936
921,2.874
922,4.926
923,6.128
924,4.298
927,4.87
929,2.57
932,3.862
934,2.358
935,8.062
937,3.972
940,2.87
944,5.618
946,4.082
948,4.936
950,6.41
952,3.034
953,4.564
956,2.632
959,4.982
960,4.622
961,3.74
962,4.734
966,5.212
968,5.358
969,3.348
971,4.494
972,4.042
978,3.25
983,5.536
984,5.258
985,3.814
987,3.466
988,4.278
989,5.922
991,3.636
992,4.454
993,3.46
997,4.574
999,2.328
1003,1.648
1006,5.282
1007,5.932
1013,3.308
1015,3.258
1016,2.216
1017,3.54
1018,10.794
1019,3.964
1020,3.14
1021,5.35
1023,3.408
1025,3.666
1027,2.98
1028,6.598
1029,6.046
1032,4.504
1035,2.696
1039,2.706
1040,5.524
1041,2.146
1043,2.41
1045,4.234
1046,5.152
1049,3.14
1054,7.22
1056,4.452
1057,4.158
1058,4.106
1060,7.776
1061,2.34
1062,4.892
1063,4.378
1066,3.698
1071,2.36
1072,1.878
1076,5.886
1077,4.186
1078,3.346
1082,4.244
1083,3.558
1085,4.86
1086,4.566
1088,4.374
1089,9.02
1090,5.546
1093,3.456
1094,4.562
1095,4.152
1096,3.542
1097,4.09
1098,3.688
1103,3.942
1104,3.154
1109,3.336
1110,4.364
1111,5.686
1113,3.718
1114,2.092
1115,3.214
1117,4.318
1118,2.448
1121,4.396
1122,2.354
1124,4.636
1125,3.242
1126,4.064
1127,3.012
1128,6.116
1130,3.492
1132,3.176
1135,4.13
1136,3.772
1139,5.136
1140,5.558
1141,2.874
1147,5.272
1150,7.072
1152,5.248
1154,6.15
1157,2.436
1158,2.83
1160,5.452
1162,3.574
1163,3.022
1164,3.47
1171,3.15
1173,3.148
1174,4.978
1176,3.346
1178,4.318
1182,4.466
1185,4.69
1188,3.022
1189,1.954
1192,5.786
1194,3.428
1195,4.012
1199,4.646
1200,3.126
1203,5.506
1204,6.548
1206,4.128
1209,4.366
1214,5.056
1215,4.062
1217,4.608
1219,5.258
1220,4.314
1221,4.226
1222,5.324
1223,2.164
1225,4.214
1226,1.954
1228,5.996
1229,4.994
1231,2.646
1233,3.828
1234,4.96
1235,3.398
1236,3.678
1238,4.654
1240,4.97
1241,5.032
1242,9.372
1244,2.94
1245,2.416
1248,3.648
1250,2.4
1251,3.536
1252,5.44
1253,6.374
1255,3.698
1258,3.352
1261,4.642
1262,5.254
1267,3.812
1268,4.312
1270,3.584
1271,7.654
1274,4.542
1275,2.734
1276,4.068
1277,3.578
1279,2.796
1280,4.672
1281,2.968
1282,4.496
1285,5.83
1289,1.564
1293,2.546
1294,5.81
1295,3.906
1296,4.286
1298,4.522
1300,3.492
1301,4.304
1302,3.216
1303,2.286
1304,4.76
1306,4.59
1308,5.192
1311,3.6
1312,2.664
1313,4.134
1314,5.228
1315,2.628
1316,2.11
1317,5.498
1319,2.946
1320,3.17
1321,3.892
1322,4.918
1324,5.256
1326,3.428
1327,4.678
1328,3.738
1329,3.962
1330,8.614
1332,5.132
1333,6.24
1334,7.238
1335,3.034
1336,4.492
1339,2.562
1344,3.42
1346,5.802
1350,4.188
1351,3.83
1352,4.126
1354,3.75
1356,3.298
1358,6.176
1359,7.566
1361,2.716
1363,2.914
1364,3.094
1366,2.818
1368,3.572
1370,3.66
1371,2.938
1374,4.792
1375,3.186
1376,4.252
1377,4.548
1379,4.004
1380,3.534
1382,4.164
1384,3.278
1387,7.644
1388,7.578
1393,5.356
1395,3.338
1396,3.632
1398,4.2
1399,2.384
1401,2.314
1403,2.756
1404,4.312
1405,4.702
1408,4.23
1409,3.582
1411,3.086
1413,3.842
1414,3.31
1415,4.366
1417,3.814
1419,5.202
1421,4.578
1423,3.124
1427,9.284
1429,3.364
1430,4.566
1433,4.134
1434,3.394
1436,4.174
1438,5.066
1441,3.52
1443,5.728
1447,3.432
1451,3.058
1457,4.678
1459,5.798
1460,2.826
1462,4.482
1464,3.95
1466,3.89
1467,3.722
1469,3.104
1472,3.876
1475,4.358
1476,2.138
1479,5.856
1480,4.256
1483,6.004
1484,2.288
1485,4.61
1488,3.36
1490,3.398
1492,3.812
1493,3.408
1495,4.782
1496,4.664
1499,3.318
1502,4.518
1503,3.43
1505,2.596
1509,4.19
1510,2.938
1511,6.21
1512,3.062
1513,6.46
1515,3.844
1517,3.866
1520,3.57
1522,5.348
1523,3.812
1524,5.224
1526,3.31
1527,10.728
1528,5.942
1529,2.23
1533,3.5
1536,4.28
1537,4.13
1540,5.028
1541,2.552
1543,5.332
1544,4.974
1546,5.664
1548,10.778
1549,4.5
1550,4.384
1552,5.342
1553,4.156
1554,3.776
1555,5.4
1560,3.094
1564,2.272
1567,5.504
1570,2.418
1571,5.042
1573,3.146
1575,3.8
1576,4.514
1579,2.48
1580,2.768
1582,2.658
1583,4.68
1586,4.208
1587,4.572
1590,4.84
1591,4.26
1595,4.322
1597,4.402
1602,3.632
1603,4.266
1604,2.524
1605,3.678
1606,4.676
1607,4.712
1610,4.104
1611,4.118
1614,5.802
1617,4.466
1619,3.174
1623,4.656
1625,4.432
1626,3.568
1627,2.644
1632,4.128
1633,2.032
1634,3.294
1635,4.554
1636,5.292
1638,4.638
1639,2.77
1641,4.232
1644,10.252
1645,3.968
1649,3.386
1650,3.718
1651,3.758
1653,4.57
1654,4.746
1656,4.18
1657,5.11
1658,3.368
1659,4.478
1660,4.936
1661,6.848
1663,2.43
1664,4.012
1666,2.378
1667,6.618
1668,5.186
1669,3.104
1670,5.854
1671,4.934
1672,3.542
1678,5.708
1682,3.062
1683,2.572
1687,5.082
1689,6.878
1690,3.73
1692,2.95
1693,3.516
1696,2.91
1698,3.806
1700,9.992
1702,4.118
1704,3.064
1706,3.024
1707,4.364
1710,6.486
1711,3.266
1712,4.714
1717,2.694
1721,3.908
1722,3.71
1723,11.362
1725,2.4
