Id,Hazard
6,3.9
7,7.2
8,5.8
9,4.9
10,3.3
11,3.9
13,6.1
14,4.2
16,3.3
17,5.7
18,8.0
20,3.2
27,9.4
28,3.8
29,4.3
30,4.0
34,7.3
35,4.6
36,6.6
37,6.2
38,3.0
40,3.2
42,6.5
46,6.7
47,2.7
48,5.4
49,6.1
51,4.5
52,8.2
53,2.4
54,4.0
55,4.8
56,5.8
57,5.8
60,4.6
61,6.1
64,7.4
65,5.0
66,5.9
68,6.2
70,3.1
71,4.6
75,3.5
76,4.3
78,7.3
80,3.2
81,5.0
82,6.0
83,6.5
85,3.4
86,2.2
87,4.7
89,6.0
90,9.3
91,4.7
92,8.3
95,4.1
97,9.4
99,8.6
101,4.9
102,2.9
103,4.3
104,3.7
107,6.2
108,4.3
111,4.0
112,6.3
115,3.6
119,6.1
121,4.3
124,3.7
128,8.8
130,4.9
131,4.9
133,7.4
134,3.8
137,7.0
138,4.4
142,5.3
143,4.2
144,19.6
145,8.4
147,5.4
148,3.7
152,3.8
154,13.0
158,2.2
159,10.6
160,6.0
161,6.8
164,2.8
165,3.1
166,3.6
167,4.7
169,2.9
170,4.2
171,4.2
175,4.9
177,5.2
178,6.4
180,7.1
182,1.3
184,8.9
185,11.8
186,4.2
190,4.5
191,5.4
192,3.6
195,6.5
196,9.2
197,7.4
198,3.8
199,12.7
200,5.3
204,5.5
205,5.0
207,2.5
208,5.9
209,6.6
211,7.2
216,8.9
217,1.9
220,7.2
223,6.3
224,5.5
230,6.8
232,5.6
235,5.2
236,7.6
238,4.2
240,4.1
242,7.3
244,5.1
245,2.8
248,4.0
251,6.3
256,6.6
258,7.5
259,6.2
261,6.1
267,7.9
268,5.2
270,6.8
272,8.6
273,5.5
275,2.3
276,4.5
277,5.5
279,3.4
283,6.8
284,6.2
286,3.2
287,3.5
288,3.6
289,9.9
292,6.6
293,2.4
295,4.0
297,3.5
301,4.3
303,6.9
304,3.6
305,2.9
308,3.0
309,4.9
313,3.7
314,8.6
315,4.0
316,4.1
318,5.0
320,6.5
324,5.6
325,2.6
326,3.7
327,2.7
328,4.2
332,4.4
333,10.2
336,3.9
339,4.7
340,5.7
342,7.1
344,8.1
345,6.9
346,3.9
349,6.6
353,4.6
355,6.4
360,6.6
363,6.0
366,5.8
367,4.7
369,6.3
371,6.7
372,4.7
374,3.0
375,3.6
378,4.6
379,3.4
381,5.7
382,4.1
384,2.8
385,5.5
387,2.6
388,3.7
389,6.7
390,8.0
393,3.8
394,7.2
395,3.5
397,2.1
398,6.4
399,5.8
403,5.5
404,5.4
406,1.9
407,4.5
410,3.3
411,5.0
412,1.3
413,6.0
417,5.2
419,5.3
422,7.5
425,5.8
426,4.7
427,5.2
432,4.3
434,4.0
437,3.4
438,5.1
440,2.9
441,5.5
443,2.2
445,6.5
447,3.0
449,5.2
450,6.9
451,2.7
453,4.9
455,3.1
456,6.9
459,4.1
461,5.5
463,3.8
466,4.7
467,3.1
469,4.6
470,6.6
472,3.6
477,4.4
481,3.1
485,8.2
492,5.5
494,4.1
497,3.6
503,4.0
504,5.7
507,5.2
509,2.6
511,7.9
512,3.5
513,5.8
516,4.7
517,4.0
518,4.2
522,4.5
525,2.7
526,3.3
527,8.6
529,3.5
534,4.6
538,3.3
540,3.9
541,1.7
542,5.9
543,12.4
544,6.8
546,1.4
547,6.3
550,2.8
554,6.2
556,2.8
558,4.2
559,3.5
560,3.5
564,3.0
565,2.2
566,5.7
567,6.8
568,4.6
570,4.0
571,4.0
575,4.5
576,8.8
585,3.9
586,5.6
589,4.0
590,6.1
591,9.1
593,3.3
594,1.7
595,4.7
596,5.7
597,4.1
598,5.0
599,3.3
600,6.3
601,2.7
609,2.8
613,5.6
619,7.2
620,6.3
621,5.6
622,5.8
623,2.6
625,4.6
626,3.6
628,2.7
629,7.3
633,4.3
634,5.0
635,5.9
636,5.4
637,2.9
638,3.0
639,5.0
640,7.6
643,4.4
645,4.6
646,5.5
647,1.8
649,5.2
650,3.7
654,5.0
656,3.0
657,6.1
661,6.2
662,2.5
663,4.5
664,3.7
667,4.9
668,6.2
672,7.4
673,3.3
675,5.6
676,2.5
677,4.3
678,6.1
679,5.6
682,2.5
684,5.2
686,4.6
687,10.1
688,2.7
689,7.0
690,2.1
691,5.0
693,2.9
694,4.3
695,4.9
696,3.6
699,4.1
702,10.8
703,3.2
704,3.0
705,2.5
708,8.6
709,6.7
710,5.1
711,4.7
712,6.3
713,6.6
714,4.7
724,3.0
725,5.8
727,3.0
729,3.0
731,8.2
732,2.3
735,2.8
736,5.1
738,3.7
739,5.4
741,4.7
744,5.7
745,4.1
749,4.5
750,4.2
753,4.1
754,4.9
756,3.0
759,5.1
763,3.3
764,3.4
765,5.8
770,3.6
773,3.7
774,12.2
778,3.4
780,4.5
781,7.3
783,16.9
784,5.6
790,3.8
791,4.9
792,8.8
793,2.8
794,5.1
795,3.4
796,4.6
801,7.6
802,6.0
805,4.5
808,4.1
809,7.2
813,3.3
814,10.1
815,2.8
816,4.4
817,2.2
821,5.3
822,3.8
823,4.2
825,3.0
826,3.8
830,4.5
832,2.9
833,5.4
835,3.0
837,1.6
838,3.5
839,2.3
841,5.8
842,2.9
844,6.1
853,2.1
855,3.2
858,4.2
859,2.2
860,4.2
861,4.5
862,2.5
868,4.5
869,11.1
874,5.8
875,5.0
877,6.2
879,2.6
885,5.4
886,5.6
887,3.1
892,2.6
894,1.9
896,6.5
898,3.7
899,6.3
900,9.0
901,4.4
903,3.5
904,8.3
906,2.9
907,5.1
908,4.6
909,4.8
915,5.4
916,7.8
917,5.6
921,3.2
922,3.9
923,5.8
924,2.5
927,3.8
929,4.1
932,4.5
934,2.7
935,10.0
937,3.9
940,2.5
944,6.8
946,6.8
948,4.4
950,4.6
952,1.6
953,4.7
956,6.2
959,7.0
960,3.6
961,4.7
962,5.0
966,4.0
968,9.7
969,4.7
971,4.8
972,6.3
978,2.6
983,4.8
984,6.4
985,8.6
987,5.3
988,5.3
989,4.9
991,2.6
992,4.5
993,3.6
997,5.4
999,2.8
1003,3.1
1006,3.9
1007,6.2
1013,4.6
1015,2.3
1016,3.6
1017,3.0
1018,6.3
1019,6.3
1020,4.6
1021,2.6
1023,2.4
1025,2.3
1027,2.6
1028,4.4
1029,3.7
1032,5.9
1035,2.0
1039,3.9
1040,6.6
1041,1.8
1043,3.4
1045,6.2
1046,6.4
1049,5.3
1054,4.2
1056,6.8
1057,5.9
1058,5.2
1060,8.8
1061,3.5
1062,4.3
1063,3.1
1066,2.4
1071,4.7
1072,4.3
1076,10.1
1077,4.7
1078,3.7
1082,5.0
1083,4.7
1085,5.7
1086,5.1
1088,4.0
1089,9.2
1090,5.6
1093,5.6
1094,4.0
1095,4.9
1096,7.5
1097,2.7
1098,5.0
1103,4.2
1104,2.6
1109,4.7
1110,4.3
1111,5.8
1113,3.3
1114,2.2
1115,2.8
1117,2.8
1118,3.2
1121,3.6
1122,1.9
1124,2.8
1125,3.9
1126,5.3
1127,3.7
1128,9.8
1130,4.2
1132,5.7
1135,4.6
1136,4.0
1139,4.4
1140,8.3
1141,1.7
1147,4.5
1150,8.1
1152,3.5
1154,6.9
1157,3.9
1158,4.0
1160,6.6
1162,5.3
1163,2.7
1164,4.2
1171,4.4
1173,2.6
1174,3.1
1176,4.0
1178,3.4
1182,3.3
1185,4.9
1188,2.6
1189,2.2
1192,5.8
1194,4.9
1195,3.3
1199,3.6
1200,3.9
1203,6.1
1204,7.5
1206,2.3
1209,4.1
1214,6.1
1215,5.6
1217,6.4
1219,5.6
1220,7.4
1221,2.5
1222,5.2
1223,2.7
1225,4.7
1226,2.9
1228,6.3
1229,5.4
1231,3.6
1233,2.6
1234,6.4
1235,2.9
1236,6.8
1238,7.1
1240,7.9
1241,3.7
1242,11.8
1244,5.3
1245,2.4
1248,3.4
1250,2.2
1251,6.3
1252,6.5
1253,5.4
1255,4.4
1258,3.7
1261,3.9
1262,3.7
1267,3.7
1268,4.8
1270,2.6
1271,7.7
1274,4.1
1275,2.4
1276,3.0
1277,4.5
1279,4.7
1280,3.8
1281,6.6
1282,8.0
1285,5.6
1289,2.5
1293,2.4
1294,9.8
1295,5.6
1296,6.1
1298,8.6
1300,4.3
1301,6.7
1302,3.1
1303,3.9
1304,8.3
1306,6.7
1308,2.3
1311,4.2
1312,2.6
1313,5.5
1314,4.0
1315,3.2
1316,1.8
1317,5.0
1319,3.3
1320,6.8
1321,3.8
1322,7.1
1324,2.1
1326,4.9
1327,4.1
1328,2.7
1329,3.8
1330,8.2
1332,2.7
1333,4.6
1334,10.0
1335,4.4
1336,5.6
1339,2.8
1344,3.7
1346,5.5
1350,5.6
1351,3.6
1352,4.2
1354,1.2
1356,3.4
1358,5.2
1359,6.2
1361,3.5
1363,4.1
1364,4.3
1366,2.5
1368,5.9
1370,3.2
1371,2.1
1374,5.4
1375,6.8
1376,5.7
1377,4.4
1379,8.0
1380,3.8
1382,7.6
1384,2.8
1387,9.9
1388,6.1
1393,6.3
1395,3.7
1396,4.5
1398,5.7
1399,1.8
1401,2.4
1403,2.4
1404,5.8
1405,8.5
1408,3.3
1409,4.1
1411,3.7
1413,4.7
1414,3.2
1415,5.6
1417,3.2
1419,4.9
1421,5.0
1423,4.0
1427,9.1
1429,2.4
1430,5.1
1433,3.9
1434,3.1
1436,5.8
1438,6.0
1441,4.8
1443,7.1
1447,1.7
1451,3.9
